0	40	50	0	0	1236	0
1	22	40	0	0	1236	0
2	25	70	0	0	1236	0
3	45	68	10	760	1120	90
4	45	70	30	668	1028	90
5	42	66	10	16	376	90
6	42	68	10	575	935	90
7	42	65	10	15	375	90
8	40	69	20	482	842	90
9	40	66	20	18	378	90
10	38	68	20	110	470	90
11	38	70	10	390	750	90
12	35	66	10	204	564	90
13	35	69	10	297	657	90
14	25	85	20	507	867	90
15	22	75	30	30	390	90
16	22	85	10	414	774	90
17	20	80	40	227	587	90
18	20	85	40	322	682	90
19	18	75	20	33	393	90
20	15	75	20	37	397	90
21	15	80	10	132	492	90
22	30	50	10	10	370	90
23	30	52	20	760	1120	90
24	28	52	20	668	1028	90
25	28	55	10	575	935	90
26	25	50	10	15	375	90
27	25	52	40	17	377	90
28	25	55	10	482	842	90
29	23	52	10	109	469	90
30	23	55	20	390	750	90
31	20	50	10	202	562	90
32	20	55	10	297	657	90
33	10	35	20	39	399	90
34	10	40	30	31	391	90
35	8	40	40	33	393	90
36	8	45	20	604	964	90
37	5	35	10	134	494	90
38	5	45	10	511	871	90
39	2	40	20	229	589	90
40	0	40	30	321	681	90
41	0	45	20	416	776	90
42	35	30	10	113	473	90
43	35	32	10	21	381	90
44	33	32	20	19	379	90
45	33	35	10	16	376	90
46	32	30	10	206	566	90
47	30	30	10	391	751	90
48	30	32	30	299	659	90
49	30	35	10	767	1127	90
50	28	30	10	483	843	90
51	28	35	10	766	1126	90
52	26	32	10	668	1028	90
